index,id,country,genus,species,lat,lon,date,upper,lower
1,KT12_H1,chad,australopithecus,bahrelghazali,16.00583,18.87611,3.58,3.85,3.31
2,KT12_H2,chad,australopithecus,bahrelghazali,16.00583,18.87611,3.58,3.85,3.31
3,KT13,chad,australopithecus,indet,15.96917,18.86944,3.25,3.5,3.0
4,#Ish25,democratic_republic_of_congo,indet,indet,-0.13701,29.60185,2.175,2.35,2.0
5,DIK-1-1,ethiopia,australopithecus,afarensis,11.09404,40.6042,3.33,3.35,3.31
6,DIK-2-1,ethiopia,australopithecus,afarensis,11.08035,40.58212,3.4,3.4,3.4
7,FJ-1-Hd1,ethiopia,homo,habilis,4.50111,36.33389,1.95,2.0,1.9
8,FJ-1-Hd2,ethiopia,australopithecus,boisei,4.50111,36.33389,2.095,2.23,1.96
9,FJ-1-Hd3,ethiopia,homo,habilis,4.50111,36.33389,1.95,2.0,1.9
10,FJ-1-Hd4,ethiopia,homo,habilis,4.50111,36.33389,1.95,2.0,1.9
11,DAN5_P1,ethiopia,homo,erectus,11.08984,40.51943,1.55,1.6,1.5
12,A_L_1017-1,ethiopia,australopithecus,afarensis,11.12014,40.5954,3.01,3.12,2.9
13,A_L_1030-1,ethiopia,australopithecus,afarensis,11.12014,40.5954,3.228,3.256,3.2
14,A_L_1044-1,ethiopia,australopithecus,afarensis,11.12014,40.5954,3.2,3.256,3.2
15,A_L_1045-1,ethiopia,australopithecus,afarensis,11.12014,40.5954,3.35,3.8,2.9
16,A_L_1117-1,ethiopia,australopithecus,afarensis,11.12014,40.5954,3.35,3.8,2.9
17,A_L_1180-1,ethiopia,australopithecus,afarensis,11.12014,40.5954,3.338,3.42,3.256
18,A_L_125-11,ethiopia,australopithecus,afarensis,11.12014,40.5954,3.39,3.42,3.36
19,A_L_1256-1,ethiopia,australopithecus,afarensis,11.12014,40.5954,3.35,3.8,2.9
20,A_L_128-1,ethiopia,australopithecus,afarensis,11.11434,40.58845,3.39,3.42,3.36
21,A_L_128-23,ethiopia,australopithecus,afarensis,11.11434,40.58845,3.39,3.42,3.36
22,A_L_129-1,ethiopia,australopithecus,afarensis,11.11433,40.58863,3.39,3.42,3.36
23,A_L_129-52,ethiopia,australopithecus,afarensis,11.11433,40.58863,3.39,3.42,3.36
24,A_L_137-48,ethiopia,australopithecus,afarensis,11.1147,40.58744,3.36,3.42,3.3
25,A_L_137-50,ethiopia,australopithecus,afarensis,11.1147,40.58744,3.4,3.42,3.36
26,A_L_145-35,ethiopia,australopithecus,afarensis,11.11616,40.58801,3.39,3.42,3.36
27,A_L_1496-1,ethiopia,australopithecus,afarensis,11.12014,40.5954,3.35,3.8,2.9
28,A_L_1515-1,ethiopia,australopithecus,afarensis,11.12014,40.5954,3.03,3.12,2.94
29,A_L_152-2,ethiopia,australopithecus,afarensis,11.12014,40.5954,3.35,3.42,3.36
30,A_L_161-40,ethiopia,australopithecus,afarensis,11.13151,40.60369,3.228,3.256,3.2
31,A_L_162-28,ethiopia,australopithecus,afarensis,11.13363,40.60143,3.228,3.256,3.2
32,A_L_166-9,ethiopia,australopithecus,afarensis,11.11542,40.59136,3.36,3.42,3.3
33,A_L_176-35,ethiopia,australopithecus,afarensis,11.12014,40.5954,3.228,3.256,3.2
34,A_L_188-1,ethiopia,australopithecus,afarensis,11.13526,40.60425,3.228,3.256,3.2
35,A_L_1920-1,ethiopia,australopithecus,afarensis,11.12014,40.5954,3.36,3.42,3.3
36,A_L_198-1,ethiopia,australopithecus,afarensis,11.10493,40.57751,3.39,3.42,3.36
37,A_L_198-17,ethiopia,australopithecus,afarensis,11.10493,40.57751,3.39,3.42,3.36
38,A_L_198-18,ethiopia,australopithecus,afarensis,11.10493,40.57751,3.39,3.42,3.36
39,A_L_198-22,ethiopia,australopithecus,afarensis,11.12014,40.5954,3.39,3.42,3.36
40,A_L_199-1,ethiopia,australopithecus,afarensis,11.10554,40.57898,3.39,3.42,3.36
41,A_L_200-1,ethiopia,australopithecus,afarensis,11.10554,40.57915,3.39,3.42,3.36
42,A_L_207-13,ethiopia,australopithecus,afarensis,11.11458,40.57125,3.228,3.256,3.2
43,A_L_207-17,ethiopia,australopithecus,afarensis,11.11458,40.57125,3.256,3.256,3.256
44,A_L_211-1,ethiopia,australopithecus,afarensis,11.1288,40.60195,3.278,3.3,3.256
45,A_L_223-1,ethiopia,australopithecus,afarensis,11.12014,40.5954,3.35,3.8,2.9
46,A_L_223-23,ethiopia,australopithecus,afarensis,11.12014,40.5954,3.33,3.36,3.3
47,A_L_224-9,ethiopia,australopithecus,afarensis,11.12014,40.5954,3.39,3.42,3.36
48,A_L_225-8,ethiopia,australopithecus,afarensis,11.12014,40.5954,3.338,3.42,3.256
49,A_L_228-1,ethiopia,australopithecus,afarensis,11.10374,40.5781,3.33,3.36,3.3
50,A_L_228-2,ethiopia,australopithecus,afarensis,11.10374,40.5781,3.33,3.36,3.3
51,A_L_237-3,ethiopia,australopithecus,afarensis,11.12014,40.5954,3.4,3.42,3.36
52,A_L_241-14,ethiopia,australopithecus,afarensis,11.11365,40.56855,3.228,3.256,3.2
53,A_L_249-26,ethiopia,australopithecus,afarensis,11.11464,40.58598,3.39,3.42,3.36
54,A_L_249-27,ethiopia,australopithecus,afarensis,11.11464,40.58598,3.39,3.42,3.36
